id,dealer_code,dealer_name,store_numbers,working_hours
1,12079,Brite Autowheels Pvt. Ltd.,"[""+917678649200"",""+917678647710"",""+919971168444""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""0000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
2,5206,North Delhi Motorcycles-Sales,"[""+919599686133"",""+919810558625"",""+919599686134"",""+918130495932"",""+917428895220"",""+917428192208"",""+919289711270""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
3,100,Lamba Enterprises Pvt Ltd Sales,"[""+918826414248"",""+919212509111"",""+919711210615"",""+919711308443"",""+917290928938"",""+917290954963"",""+919319391008"",""+917290022750""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
4,7529,Sunshine Automobiles,"[""+919910933189"",""+919810521757"",""+919205789286"",""+919953088843"",""+919821087286"",""+918448545998"",""+919718354590""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
5,11401,Jagadamba Automobiles,"[""+919591957677"",""+916366936948"",""+918884680086"",""+918971850087""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2030""}],""mon"":[{""working_from"":""1000"",""working_to"":""2030""}],""tue"":[{""working_from"":""1000"",""working_to"":""2030""}],""wed"":[{""working_from"":""1000"",""working_to"":""2030""}],""thu"":[{""working_from"":""1000"",""working_to"":""2030""}],""fri"":[{""working_from"":""1000"",""working_to"":""2030""}],""sat"":[{""working_from"":""1000"",""working_to"":""2030""}]}"
6,96,AMAR AUTOS-SALE,"[""+919711767479"",""+919810092809"",""+918510092800"",""+918448988946"",""+918448988949""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""1900""}],""tue"":[{""working_from"":""1000"",""working_to"":""1900""}],""wed"":[{""working_from"":""1000"",""working_to"":""1900""}],""thu"":[{""working_from"":""1000"",""working_to"":""1900""}],""fri"":[{""working_from"":""1000"",""working_to"":""1900""}],""sat"":[{""working_from"":""1000"",""working_to"":""1900""}]}"
7,12007,Anjuli Automobiles Pvt. Ltd.,"[""+918750270991"",""+918851745757"",""+918750222891""]","{""sun"":[{""working_from"":""0800"",""working_to"":""2000""}],""mon"":[{""working_from"":""0800"",""working_to"":""2000""}],""tue"":[{""working_from"":""0800"",""working_to"":""2000""}],""wed"":[{""working_from"":""0800"",""working_to"":""2000""}],""thu"":[{""working_from"":""0800"",""working_to"":""2000""}],""fri"":[{""working_from"":""0800"",""working_to"":""2000""}],""sat"":[{""working_from"":""0800"",""working_to"":""2000""}]}"
8,1941,Soni Automobile Sales,"[""+919821384734"",""+919818531804"",""+919990206126"",""+919873069001"",""+919599004447"",""+919599113096""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2000""}],""mon"":[{""working_from"":""0930"",""working_to"":""2000""}],""tue"":[{""working_from"":""0930"",""working_to"":""2000""}],""wed"":[{""working_from"":""0930"",""working_to"":""2000""}],""thu"":[{""working_from"":""0930"",""working_to"":""2000""}],""fri"":[{""working_from"":""0930"",""working_to"":""2000""}],""sat"":[{""working_from"":""0930"",""working_to"":""1800""}]}"
9,100262,Company Store Bangalore- Bannerghatta Road,"[""+919901436335"",""+917816020232"",""+919341393955"",""+917996447474""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2000""}],""mon"":[{""working_from"":""0900"",""working_to"":""2000""}],""tue"":[{""working_from"":""0900"",""working_to"":""2000""}],""wed"":[{""working_from"":""0900"",""working_to"":""2000""}],""thu"":[{""working_from"":""0900"",""working_to"":""2000""}],""fri"":[{""working_from"":""0900"",""working_to"":""2000""}],""sat"":[{""working_from"":""0900"",""working_to"":""2000""}]}"
10,5112,Cruiser Motors Pvt Ltd-Sales,"[""+917290042301"",""+917042489500"",""+919873559184"",""+918860101151"",""+919811049505"",""+917290051053"",""+919136409595"",""+918459994890"",""+918459132266"",""+917042519922""]","{""sun"":[{""working_from"":""1030"",""working_to"":""1930""}],""mon"":[{""working_from"":""1030"",""working_to"":""2000""}],""tue"":[{""working_from"":""1030"",""working_to"":""2000""}],""wed"":[{""working_from"":""1030"",""working_to"":""2000""}],""thu"":[{""working_from"":""1030"",""working_to"":""2000""}],""fri"":[{""working_from"":""1030"",""working_to"":""2000""}],""sat"":[{""working_from"":""1030"",""working_to"":""2000""}]}"
